state,pop_2010,pop_2019,Land_Area
Alabama,4779736,4903185,131171
Alaska,710231,731545,1477953
Arizona,6392017,7278717,294207
Arkansas,2915918,3017825,134771
California,37254523,39512223,403466
Colorado,5029196,5758736,268431
Connecticut,3574097,3565287,12542
Delaware,897934,973764,5047
Florida,18801310,21477737,138887
Georgia,9687653,10617423,148959
Hawaii,1360301,1415872,16635
Idaho,1567582,1787147,214045
Illinois,12830632,12671821,143793
Indiana,6483802,6732219,92789
Iowa,3046355,3155070,144669
Kansas,2853118,2913314,211754
Kentucky,4339367,4467673,102269
Louisiana,4533372,4648794,111898
Maine,1328361,1344212,79883
Maryland,5773552,6045680,25142
Massachusetts,6547629,6949503,20202
Michigan,9883640,9986857,146435
Minnesota,5303925,5639632,206232
Mississippi,2967297,2976149,121531
Missouri,5988927,6137428,178040
Montana,989415,1068778,376962
Nebraska,1826341,1934408,198974
Nevada,2700551,3080156,284332
New Hampshire,1316470,1359711,23187
New Jersey,8791894,8882190,19047
New Mexico,2059179,2096829,314161
New York,19378102,19453561,122057
North Carolina,9535483,10488084,125920
North Dakota,672591,762062,178711
Ohio,11536504,11689100,105829
Oklahoma,3751351,3956971,177660
Oregon,3831074,4217737,248608
Pennsylvania,12702379,12801989,115883
Rhode Island,1052567,1059361,2678
South Carolina,4625364,5148714,77857
South Dakota,814180,884659,196350
Tennessee,6346105,6833174,106798
Texas,25145561,28995881,676587
Utah,2763885,3205958,212818
Vermont,625741,623989,23871
Virginia,8001024,8535519,102279
Washington,6724540,7614893,172119
West Virginia,1852994,1792065,62259
Wisconsin,5686986,5822434,140268
Wyoming,563626,578759,251470
District of Columbia,601723,705749,158
Guam,159358,165718,543
Virgin Islands,106405,104914,348
American Samoa,55519,55641,198
Northern Mariana Islands,53883,55194,472
Puerto Rico,3725789,3193694,8868
